

lambda(m), Y
5.85294e-07, 0.818012
5.82723e-07, 0.818803
5.80175e-07, 0.818337
5.77649e-07, 0.817084
5.75145e-07, 0.81579
5.72662e-07, 0.815002
5.70201e-07, 0.815234
5.6776e-07, 0.8165
5.65341e-07, 0.818437
5.62942e-07, 0.82058
5.60563e-07, 0.822177
5.58205e-07, 0.822786
5.55866e-07, 0.822275
5.53547e-07, 0.820772
5.51247e-07, 0.818921
5.48966e-07, 0.817305
5.46703e-07, 0.816462
5.4446e-07, 0.816736
5.42234e-07, 0.81787
5.40027e-07, 0.819449
5.37838e-07, 0.820785
5.35666e-07, 0.821198
5.33512e-07, 0.820489
5.31375e-07, 0.818663
5.29255e-07, 0.816209
5.27152e-07, 0.813831
5.25066e-07, 0.812005
5.22996e-07, 0.811134
5.20942e-07, 0.811106
5.18905e-07, 0.811485
5.16883e-07, 0.811804
5.14877e-07, 0.811416
5.12887e-07, 0.810032
5.10911e-07, 0.80762
5.08951e-07, 0.804351
5.07006e-07, 0.800774
5.05076e-07, 0.79727
5.03161e-07, 0.794187
5.01259e-07, 0.7917
4.99373e-07, 0.789589
4.975e-07, 0.787614
4.95641e-07, 0.785312
4.93797e-07, 0.78222
4.91965e-07, 0.778211
4.90148e-07, 0.773205
4.88344e-07, 0.767523
4.86553e-07, 0.761632
4.84775e-07, 0.755891
4.8301e-07, 0.750746
4.81258e-07, 0.746236
4.79518e-07, 0.742214
4.77791e-07, 0.738449
4.76077e-07, 0.73448
4.74374e-07, 0.730141
4.72684e-07, 0.725358
4.71006e-07, 0.720196
4.6934e-07, 0.715049
4.67685e-07, 0.710123
4.66042e-07, 0.705703
4.64411e-07, 0.701947
4.62791e-07, 0.698727
4.61182e-07, 0.696057
4.59584e-07, 0.693711
4.57998e-07, 0.691498
4.56422e-07, 0.689339
4.54857e-07, 0.686974
4.53303e-07, 0.684421
4.51759e-07, 0.681685
4.50226e-07, 0.678805
4.48703e-07, 0.676096
4.47191e-07, 0.673671
4.45689e-07, 0.671746
4.44196e-07, 0.670417
4.42714e-07, 0.669438
4.41242e-07, 0.66868
4.39779e-07, 0.667769
4.38326e-07, 0.66645
4.36883e-07, 0.664749
4.35449e-07, 0.662615
4.34024e-07, 0.660372
4.32609e-07, 0.658265
4.31203e-07, 0.656399
4.29806e-07, 0.654972
4.28418e-07, 0.653804
4.27039e-07, 0.652817
4.25668e-07, 0.651926
4.24307e-07, 0.650864
4.22954e-07, 0.649687
4.2161e-07, 0.648235
4.20275e-07, 0.646474
4.18947e-07, 0.644536
4.17629e-07, 0.642331
4.16318e-07, 0.640116
4.15016e-07, 0.63806
4.13721e-07, 0.63626
4.12435e-07, 0.634991
4.11157e-07, 0.63404
4.09887e-07, 0.633289
4.08624e-07, 0.632553
4.07369e-07, 0.631412
4.06122e-07, 0.63023
4.04883e-07, 0.628469
4.03651e-07, 0.626419
4.02427e-07, 0.624502
4.0121e-07, 0.622823
4e-07, 0.621609



