

lambda(m), Y
1e-06, 0.619424
9.92519e-07, 0.623805
9.85149e-07, 0.626906
9.77887e-07, 0.630899
9.70732e-07, 0.636059
9.6368e-07, 0.642825
9.56731e-07, 0.65038
9.49881e-07, 0.656559
9.43128e-07, 0.660334
9.36471e-07, 0.659876
9.29907e-07, 0.654038
9.23434e-07, 0.64122
9.17051e-07, 0.616767
9.10755e-07, 0.577787
9.04545e-07, 0.532322
8.9842e-07, 0.505416
8.92377e-07, 0.522881
8.86414e-07, 0.564455
8.80531e-07, 0.598603
8.74725e-07, 0.620733
8.68996e-07, 0.631878
8.63341e-07, 0.63226
8.57759e-07, 0.618106
8.52248e-07, 0.588798
8.46809e-07, 0.568272
8.41438e-07, 0.580233
8.36134e-07, 0.607693
8.30898e-07, 0.631822
8.25726e-07, 0.647394
8.20619e-07, 0.654341
8.15574e-07, 0.652952
8.10591e-07, 0.651071
8.05668e-07, 0.663392
8.00805e-07, 0.682415
7.96e-07, 0.698649
7.91252e-07, 0.710193
7.86561e-07, 0.716531
7.81925e-07, 0.71749
7.77344e-07, 0.711727
7.72816e-07, 0.69599
7.6834e-07, 0.666097
7.63916e-07, 0.627678
7.59542e-07, 0.608685
7.55218e-07, 0.621871
7.50943e-07, 0.647533
7.46717e-07, 0.668322
7.42537e-07, 0.677734
7.38404e-07, 0.677055
7.34317e-07, 0.677576
7.30275e-07, 0.684181
7.26277e-07, 0.686348
7.22323e-07, 0.676279
7.18412e-07, 0.653673
7.14542e-07, 0.636167
7.10714e-07, 0.644218
7.06927e-07, 0.666918
7.0318e-07, 0.688467
6.99473e-07, 0.703496
6.95804e-07, 0.712645
6.92174e-07, 0.718357
6.88581e-07, 0.723788
6.85026e-07, 0.730379
6.81507e-07, 0.737352
6.78024e-07, 0.743297
6.74576e-07, 0.747264
6.71164e-07, 0.748589
6.67785e-07, 0.747781
6.64441e-07, 0.747927
6.6113e-07, 0.751112
6.57851e-07, 0.756387
6.54605e-07, 0.762476
6.51391e-07, 0.76898
6.48208e-07, 0.775406
6.45057e-07, 0.780938
6.41935e-07, 0.785041
6.38844e-07, 0.787239
6.35783e-07, 0.787801
6.3275e-07, 0.787689
6.29747e-07, 0.787809
6.26772e-07, 0.789017
6.23824e-07, 0.791533
6.20905e-07, 0.795128
6.18012e-07, 0.799393
6.15147e-07, 0.803408
6.12308e-07, 0.806445
6.09495e-07, 0.808085
6.06707e-07, 0.808243
6.03945e-07, 0.807584
6.01208e-07, 0.80686
5.98496e-07, 0.806802
5.95808e-07, 0.807983
5.93145e-07, 0.810244
5.90504e-07, 0.813178
5.87888e-07, 0.816038
