

lambda(m), Y
6.12308e-07, 0.79985
6.09495e-07, 0.80011
6.06707e-07, 0.799179
6.03945e-07, 0.797489
6.01208e-07, 0.795892
5.98496e-07, 0.794995
5.95808e-07, 0.795263
5.93145e-07, 0.796615
5.90504e-07, 0.798578
5.87888e-07, 0.800494
5.85294e-07, 0.801654
5.82723e-07, 0.801761
5.80175e-07, 0.800779
5.77649e-07, 0.799193
5.75145e-07, 0.797567
5.72662e-07, 0.796515
5.70201e-07, 0.796397
5.6776e-07, 0.797207
5.65341e-07, 0.798705
5.62942e-07, 0.800307
5.60563e-07, 0.801504
5.58205e-07, 0.801799
5.55866e-07, 0.801092
5.53547e-07, 0.799562
5.51247e-07, 0.797679
5.48966e-07, 0.796049
5.46703e-07, 0.795119
5.4446e-07, 0.795183
5.42234e-07, 0.796049
5.40027e-07, 0.797328
5.37838e-07, 0.798362
5.35666e-07, 0.798621
5.33512e-07, 0.797827
5.31375e-07, 0.79604
5.29255e-07, 0.793716
5.27152e-07, 0.791389
5.25066e-07, 0.789643
5.22996e-07, 0.788694
5.20942e-07, 0.788522
5.18905e-07, 0.788738
5.16883e-07, 0.788835
5.14877e-07, 0.788354
5.12887e-07, 0.786942
5.10911e-07, 0.784613
5.08951e-07, 0.781532
5.07006e-07, 0.778144
5.05076e-07, 0.774807
5.03161e-07, 0.771844
5.01259e-07, 0.769354
4.99373e-07, 0.767215
4.975e-07, 0.765189
4.95641e-07, 0.762833
4.93797e-07, 0.759851
4.91965e-07, 0.755967
4.90148e-07, 0.751241
4.88344e-07, 0.745874
4.86553e-07, 0.740259
4.84775e-07, 0.734817
4.8301e-07, 0.729821
4.81258e-07, 0.725436
4.79518e-07, 0.721481
4.77791e-07, 0.717753
4.76077e-07, 0.713887
4.74374e-07, 0.709702
4.72684e-07, 0.705119
4.71006e-07, 0.700255
4.6934e-07, 0.695376
4.67685e-07, 0.690705
4.66042e-07, 0.686516
4.64411e-07, 0.682835
4.62791e-07, 0.679719
4.61182e-07, 0.67703
4.59584e-07, 0.674685
4.57998e-07, 0.672534
4.56422e-07, 0.670415
4.54857e-07, 0.668239
4.53303e-07, 0.665858
4.51759e-07, 0.663332
4.50226e-07, 0.660662
4.48703e-07, 0.658079
4.47191e-07, 0.655744
4.45689e-07, 0.653866
4.44196e-07, 0.652514
4.42714e-07, 0.651571
4.41242e-07, 0.650867
4.39779e-07, 0.650057
4.38326e-07, 0.648991
4.36883e-07, 0.647496
4.35449e-07, 0.645697
4.34024e-07, 0.643736
4.32609e-07, 0.641864
4.31203e-07, 0.64027
4.29806e-07, 0.638987
4.28418e-07, 0.638051
4.27039e-07, 0.637299
4.25668e-07, 0.636706
4.24307e-07, 0.636085
4.22954e-07, 0.635401
4.2161e-07, 0.634525
4.20275e-07, 0.633409
4.18947e-07, 0.632055
4.17629e-07, 0.630462
4.16318e-07, 0.628826
4.15016e-07, 0.627268
4.13721e-07, 0.626096
4.12435e-07, 0.625349
4.11157e-07, 0.625066
4.09887e-07, 0.625003
4.08624e-07, 0.624915
4.07369e-07, 0.624537
4.06122e-07, 0.623935
4.04883e-07, 0.622792
4.03651e-07, 0.621237
4.02427e-07, 0.61972
4.0121e-07, 0.618424
4e-07, 0.617511



