

lambda(m), Y
1e-06, 0.627571
9.92519e-07, 0.631838
9.85149e-07, 0.634819
9.77887e-07, 0.638535
9.70732e-07, 0.643434
9.6368e-07, 0.649667
9.56731e-07, 0.656051
9.49881e-07, 0.660494
9.43128e-07, 0.661026
9.36471e-07, 0.654738
9.29907e-07, 0.638858
9.23434e-07, 0.608112
9.17051e-07, 0.560466
9.10755e-07, 0.511923
9.04545e-07, 0.501365
8.9842e-07, 0.535309
8.92377e-07, 0.577608
8.86414e-07, 0.609363
8.80531e-07, 0.628396
8.74725e-07, 0.635999
8.68996e-07, 0.630301
8.63341e-07, 0.608389
8.57759e-07, 0.577487
8.52248e-07, 0.568003
8.46809e-07, 0.5888
8.41438e-07, 0.617427
8.36134e-07, 0.640675
8.30898e-07, 0.654928
8.25726e-07, 0.659692
8.20619e-07, 0.657902
8.15574e-07, 0.662662
8.10591e-07, 0.677489
8.05668e-07, 0.692878
8.00805e-07, 0.706067
7.96e-07, 0.716025
7.91252e-07, 0.721745
7.86561e-07, 0.721342
7.81925e-07, 0.712088
7.77344e-07, 0.690193
7.72816e-07, 0.654086
7.6834e-07, 0.618866
7.63916e-07, 0.60962
7.59542e-07, 0.626859
7.55218e-07, 0.650228
7.50943e-07, 0.664862
7.46717e-07, 0.66972
7.42537e-07, 0.676354
7.38404e-07, 0.685156
7.34317e-07, 0.684663
7.30275e-07, 0.670008
7.26277e-07, 0.6445
7.22323e-07, 0.629649
7.18412e-07, 0.641728
7.14542e-07, 0.66729
7.10714e-07, 0.69076
7.06927e-07, 0.706576
7.0318e-07, 0.715148
6.99473e-07, 0.719651
6.95804e-07, 0.723712
6.92174e-07, 0.728392
6.88581e-07, 0.733666
6.85026e-07, 0.739784
6.81507e-07, 0.746022
6.78024e-07, 0.750271
6.74576e-07, 0.751723
6.71164e-07, 0.753335
6.67785e-07, 0.756831
6.64441e-07, 0.760932
6.6113e-07, 0.764787
6.57851e-07, 0.768547
6.54605e-07, 0.772742
6.51391e-07, 0.777242
6.48208e-07, 0.78174
6.45057e-07, 0.785498
6.41935e-07, 0.788139
6.38844e-07, 0.78952
6.35783e-07, 0.789841
6.3275e-07, 0.789578
6.29747e-07, 0.789247
6.26772e-07, 0.789564
6.23824e-07, 0.790807
6.20905e-07, 0.793045
6.18012e-07, 0.795755
6.15147e-07, 0.798253
