

lambda(m), Y
1e-06, 0.606064
9.85075e-07, 0.613152
9.70588e-07, 0.621024
9.56522e-07, 0.632819
9.42857e-07, 0.638674
9.29577e-07, 0.626882
9.16667e-07, 0.592426
9.0411e-07, 0.548473
8.91892e-07, 0.54288
8.8e-07, 0.582194
8.68421e-07, 0.603341
8.57143e-07, 0.594277
8.46154e-07, 0.582817
8.35443e-07, 0.605034
8.25e-07, 0.621949
8.14815e-07, 0.625948
8.04878e-07, 0.648043
7.95181e-07, 0.67441
7.85714e-07, 0.685193
7.76471e-07, 0.671794
7.67442e-07, 0.632522
7.58621e-07, 0.613963
7.5e-07, 0.64199
7.41573e-07, 0.662502
7.33333e-07, 0.66505
7.25275e-07, 0.663648
7.17391e-07, 0.653564
7.09677e-07, 0.654881
7.02128e-07, 0.677297
6.94737e-07, 0.696437
6.875e-07, 0.710676
6.80412e-07, 0.724648
6.73469e-07, 0.733992
6.66667e-07, 0.735917
6.6e-07, 0.739299
6.53465e-07, 0.749104
6.47059e-07, 0.761465
6.40777e-07, 0.770492
6.34615e-07, 0.773215
6.28571e-07, 0.773785
6.22642e-07, 0.778003
6.16822e-07, 0.785873
6.11111e-07, 0.792026
6.05505e-07, 0.79293
6e-07, 0.791798
5.94595e-07, 0.793921
5.89286e-07, 0.799415
5.84071e-07, 0.80334
5.78947e-07, 0.8027
5.73913e-07, 0.80033
5.68966e-07, 0.800733
5.64103e-07, 0.804363
5.59322e-07, 0.807353
5.54622e-07, 0.806367
5.5e-07, 0.802897
5.45455e-07, 0.80136
5.40984e-07, 0.803436
5.36585e-07, 0.805724
5.32258e-07, 0.804195
5.28e-07, 0.79959
5.2381e-07, 0.796218
5.19685e-07, 0.795979
5.15625e-07, 0.796143
5.11628e-07, 0.793133
5.07692e-07, 0.786785
5.03817e-07, 0.780023
5e-07, 0.774972
4.96241e-07, 0.770633
4.92537e-07, 0.764068
4.88889e-07, 0.753953
4.85294e-07, 0.74232
4.81752e-07, 0.732173
4.78261e-07, 0.724028
4.7482e-07, 0.715817
4.71429e-07, 0.706122
4.68085e-07, 0.696019
4.64789e-07, 0.687487
4.61538e-07, 0.68118
4.58333e-07, 0.676405
4.55172e-07, 0.671975
4.52055e-07, 0.666932
4.4898e-07, 0.661424
4.45946e-07, 0.656858
4.42953e-07, 0.654297
4.4e-07, 0.652722
4.37086e-07, 0.650179
4.34211e-07, 0.646324
4.31373e-07, 0.642643
4.28571e-07, 0.640236
4.25806e-07, 0.638796
4.23077e-07, 0.637449
4.20382e-07, 0.63541
4.17722e-07, 0.632373
4.15094e-07, 0.629057
4.125e-07, 0.627029
4.09938e-07, 0.626636
4.07407e-07, 0.626145
4.04908e-07, 0.624387
4.02439e-07, 0.6212
4e-07, 0.618913



